model,time,fractional_length,pair_fraction
vt,3.0,0,0
vt,4.0,0,0
vt,5.0,0,0
vt,6.0,0,0
vt,7.0,0,0
vt,8.0,0,0
vt,9.0,0,0
vt,10.0,0.485091,0.484389
vt,11.0,0.469636,0.484389
vt,12.0,0.469299,0.484389
vt,13.0,0.467315,0.484389
vt,14.0,0.466295,0.484389
vt,15.0,0.469504,0.484389
vt,16.0,0.469734,0.484389
vt,17.0,0.467292,0.484389
vt,18.0,0.471096,0.484389
vt,19.0,0.467811,0.484389
vt,20.0,0.467572,0.484389
vt,21.0,0.468052,0.484389
vt,22.0,0.466779,0.484389
vt,23.0,0.46898,0.484389
vt,24.0,0.468377,0.484389
vt,25.0,0.468944,0.484389
vt,26.0,0.469616,0.484389
vt,27.0,0.46668,0.484389
vt,28.0,0.468807,0.484389
vt,29.0,0.464512,0.484389
vt,30.0,0.466409,0.484389
vt,31.0,0.468084,0.484389
vt,32.0,0.464888,0.484389
vt,33.0,0.468194,0.484389
vt,34.0,0.467483,0.483929
vt,35.0,0.468797,0.484389
vt,36.0,0.469254,0.484389
vt,37.0,0.469895,0.484389
vt,38.0,0.467254,0.484389
vt,39.0,0.466757,0.484389
vt,40.0,0.46645,0.482605
vt,41.0,0.465958,0.482143
vt,42.0,0.465824,0.482143
vt,43.0,0.46457,0.48125
vt,44.0,0.463252,0.480357
vt,45.0,0.458445,0.474107
vt,46.0,0.453335,0.473637
vt,47.0,0.453986,0.470956
vt,48.0,0.457383,0.470956
vt,49.0,0.4527,0.470063
vt,50.0,0.450165,0.469589
vt,51.0,0.45698,0.469589
vt,52.0,0.449497,0.467382
vt,53.0,0.450744,0.467323
vt,54.0,0.452649,0.466905
vt,55.0,0.451788,0.467323
vt,56.0,0.449284,0.467323
vt,57.0,0.449625,0.467323
vt,58.0,0.451945,0.4678
vt,59.0,0.449516,0.466846
vt,60.0,0.451101,0.467323
vt,61.0,0.44872,0.465533
vt,62.0,0.448146,0.465533
vt,63.0,0.448957,0.465054
vt,64.0,0.449891,0.464574
vt,65.0,0.450877,0.465054
vt,66.0,0.449555,0.464158
vt,67.0,0.448368,0.465116
vt,68.0,0.448093,0.463677
vt,69.0,0.447331,0.463677
vt,70.0,0.447119,0.462713
vt,71.0,0.447961,0.463677
vt,72.0,0.449835,0.463677
vt,73.0,0.446755,0.462366
vt,74.0,0.445428,0.461883
vt,75.0,0.442656,0.4614
vt,76.0,0.444959,0.4614
vt,77.0,0.443305,0.460573
vt,78.0,0.445849,0.460573
vt,79.0,0.445484,0.459605
vt,80.0,0.443575,0.459605
vt,81.0,0.443695,0.458707
vt,82.0,0.444598,0.459119
vt,83.0,0.44228,0.459119
vt,84.0,0.446329,0.459119
vt,85.0,0.441341,0.458633
vt,86.0,0.442864,0.459605
vt,87.0,0.445224,0.459119
vt,88.0,0.446466,0.459605
vt,89.0,0.443642,0.459605
vt,90.0,0.44374,0.46009
vt,91.0,0.445043,0.458633
vt,92.0,0.442048,0.459119
vt,93.0,0.442583,0.459605
vt,94.0,0.442786,0.458633
vt,95.0,0.443554,0.459605
vt,96.0,0.442245,0.459605
vt,97.0,0.442757,0.459605
vt,98.0,0.443996,0.459605
vt,99.0,0.444459,0.458781
vt,100.0,0.441998,0.45781
vt,101.0,0.441244,0.45781
vt,102.0,0.44365,0.458296
vt,103.0,0.442125,0.45781
vt,104.0,0.439751,0.45781
vt,105.0,0.438898,0.45781
vt,106.0,0.437864,0.45781
vt,107.0,0.441162,0.458296
vt,108.0,0.440746,0.45781
vt,109.0,0.437362,0.458296
vt,110.0,0.440047,0.457399
vm,0.0,0,0
vm,1.0,0,0
vm,2.0,0,0
vm,3.0,0,0
vm,4.0,0,0
vm,5.0,0,0
vm,6.0,0,0
vm,7.0,0,0
vm,8.0,0,0
vm,9.0,0,0
vm,10.0,0.493845,0.494652
vm,11.0,0.409584,0.481643
vm,12.0,0.393689,0.4604
vm,13.0,0.371284,0.439513
vm,14.0,0.361827,0.430689
vm,15.0,0.35635,0.413613
vm,16.0,0.352947,0.408893
vm,17.0,0.343125,0.398431
vm,18.0,0.336068,0.390925
vm,19.0,0.330167,0.3869
vm,20.0,0.321173,0.375
vm,21.0,0.316042,0.370954
vm,22.0,0.314247,0.364829
vm,23.0,0.309193,0.359895
vm,24.0,0.306234,0.354641
vm,25.0,0.303498,0.35289
vm,26.0,0.302349,0.349387
vm,27.0,0.302069,0.348246
vm,28.0,0.295624,0.345614
vm,29.0,0.293811,0.342982
vm,30.0,0.292998,0.342982
vm,31.0,0.293317,0.340351
vm,32.0,0.290875,0.340351
vm,33.0,0.29144,0.338596
vm,34.0,0.28897,0.335965
vm,35.0,0.287903,0.336842
vm,36.0,0.288464,0.333333
vm,37.0,0.284086,0.330702
vm,38.0,0.28392,0.329825
vm,39.0,0.281573,0.324561
vm,40.0,0.281446,0.322807
vm,41.0,0.282763,0.320175
vm,42.0,0.278723,0.320175
vm,43.0,0.278518,0.320175
vm,44.0,0.280042,0.318421
vm,45.0,0.279645,0.318421
vm,46.0,0.278881,0.316667
vm,47.0,0.278624,0.316667
vm,48.0,0.278486,0.314912
vm,49.0,0.278048,0.315789
vm,50.0,0.277553,0.314035
vm,51.0,0.279548,0.317544
vm,52.0,0.276144,0.316667
vm,53.0,0.279216,0.314035
vm,54.0,0.277969,0.313158
vm,55.0,0.279056,0.313158
vm,56.0,0.275102,0.314035
vm,57.0,0.277552,0.314912
vm,58.0,0.277295,0.314912
vm,59.0,0.276481,0.314912
vm,60.0,0.277578,0.314035
vm,61.0,0.275739,0.314912
vm,62.0,0.277,0.314912
vm,63.0,0.275847,0.315789
vm,64.0,0.277137,0.316667
vm,65.0,0.277518,0.316667
vm,66.0,0.279178,0.316667
vm,67.0,0.276442,0.315789
vm,68.0,0.276232,0.316067
vm,69.0,0.276847,0.316945
vm,70.0,0.277605,0.316067
vm,71.0,0.276789,0.316945
vm,72.0,0.275185,0.317223
vm,73.0,0.274189,0.317223
vm,74.0,0.273404,0.313984
vm,75.0,0.271301,0.313984
vm,76.0,0.271557,0.312225
vm,77.0,0.270733,0.31162
vm,78.0,0.270434,0.31162
vm,79.0,0.27051,0.3125
vm,80.0,0.271245,0.31162
vm,81.0,0.271733,0.310739
vm,82.0,0.270358,0.309859
vm,83.0,0.269744,0.31162
vm,84.0,0.26943,0.309859
vm,85.0,0.269553,0.308979
vm,86.0,0.268538,0.308099
vm,87.0,0.269105,0.307218
vm,88.0,0.270473,0.308099
vm,89.0,0.270089,0.307218
vm,90.0,0.271196,0.310739
vm,91.0,0.27179,0.309859
vm,92.0,0.269521,0.310739
vm,93.0,0.272381,0.309859
vm,94.0,0.269511,0.308979
vm,95.0,0.270228,0.310739
vm,96.0,0.270589,0.310739
vm,97.0,0.271755,0.31162
vm,98.0,0.270009,0.309859
vm,99.0,0.269926,0.309859
vm,100.0,0.271551,0.309859
vm,101.0,0.267656,0.310739
vm,102.0,0.270217,0.310739
vm,103.0,0.271041,0.310739
vm,104.0,0.270527,0.310739
vm,105.0,0.269632,0.309859
vm,106.0,0.270697,0.309859
vm,107.0,0.270529,0.310739
vm,108.0,0.270556,0.310739
vm,109.0,0.270439,0.310739
vm,110.0,0.270534,0.309859
